idx,question,gold_answer,predicted_answer,is_correct,num_steps,num_rag_steps,initial_mc,final_mc,has_citation
0,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,"Thought: Now that I have the founding years of both Arthur's Magazine and First for Women, I need to compare them to determine which one was started first",True,5,0,0.625,1.0,False
1,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,Delhi,True,5,0,0.812,1.0,False
2,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,"Thought: Since no specific information was found about Allie Goertz's song about Milhouse or the inspiration behind the character's name, I need to focus on the character's name origin as it is the primary part of the question. The name Milhouse was inspired by President Richard Nixon's middle name, which is Milhous",True,8,5,0.0,0.938,True
3, What nationality was James Henry Miller's wife?,American,American,True,5,1,0.656,0.875,False
4,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",alcohol,Hexachlorocadmium,False,6,3,0.25,0.625,True
5,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",Jonathan Stark,Jonathan Stark,True,5,0,0.875,1.0,False
6,Which genus of moth in the world's seventh-largest country contains only one species?,Crambidae,No genus of moth in India with only one species was found in the available information,False,6,1,0.0,0.0,True
7,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",Badr Hari,is clear based on the information gathered,False,5,1,0.0,0.0,True
8,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",2006,2006,True,4,2,0.031,0.844,True
9,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,6.213 km long,6.209 kilometers,False,4,1,0.0,0.0,True
10,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",Jaime Meline,"Thought: Given that multiple searches have not yielded any information about a hip hop record executive making guest appearances in ""Fast Cars, Danger, Fire and Knives"" by Aesop Rock, it seems there might be a misunderstanding or an error in the question itself. I need to conclude based on the available information",False,5,1,0.0,0.0,False
11,"Gunmen from Laredo starred which narrator of ""Frontier""?",Walter Darwin Coy,"Thought: Since I have exhausted the information available about the narrator of ""Frontier"" and the cast of ""Gunmen from Laredo,"" and no direct connection has been found, I need to conclude that there is no clear answer to the question based on the current information",False,6,1,0.0,0.0,True
12,Where did the form of music played by Die Rhöner Säuwäntzt originate?,United States,"The form of music played by Die Rhöner Säuwäntzt, which includes skiffle-blues and peasant blues, originated in the United States and various European and American folk traditions",True,5,2,0.0,0.438,True
13,In which American football game was Malcolm Smith named Most Valuable player?,Super Bowl XLVIII,2014 AFC Championship game,False,5,2,0.281,0.0,False
14,"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",US 60,U.S. Highway 14,False,4,1,0.0,0.0,False
15,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",2006,1997,False,5,2,0.0,0.0,True
16,What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.","The current members of Metallica are James Hetfield, Lars Ulrich, Robert Trujillo, and Kirk Hammett",False,5,1,0.0,0.0,True
17,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",Fox,Fox,True,4,1,0.875,1.0,True
18,"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",2017,2017,True,4,0,1.0,1.0,False
19,"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",Nevada,Nevada,True,6,1,1.0,1.0,True
20,"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",Hawaii,"California, Nevada, Arizona, Alaska, Colorado, Oregon, Washington, and Hawaii",True,5,2,0.0,0.625,True
21,Which  American politician did Donahue replaced ,Kelli Ward,There is no American politician,False,5,1,0.0,0.0,True
22,"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",The Wolfhounds,"The Wolfhounds were founded first in 1985, two years before Hole was formed in 1989",True,5,1,0.594,0.938,True
23,How old is the female main protagonist of Catching Fire?,16-year-old,16,False,4,1,0.0,0.0,True
24,Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,World War II,World War II,True,3,1,0.188,0.688,True
25,Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,Todd Phillips,David Zucker,False,4,1,0.0,0.0,True
26,"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",Carol Lawrence,Eartha Kitt,False,4,1,0.031,0.0,True
27,Were Pavel Urysohn and Leonid Levin known for the same type of work?,no,"Thought: After comparing the types of work that Pavel Urysohn and Leonid Levin were known for, I can conclude that they were not working on the same type of research or in the same field",False,9,1,1.0,1.0,True
